Symbol,Name,MarketCap,IPOyear,Sector,Industry,Date
AKTS,"Akoustis Technologies, Inc.",113362423,n/a,Public Utilities,Telecommunications Equipment,31/10/17
ALRM,"Alarm.com Holdings, Inc.",2192948394,2015,Technology,Computer Software: Prepackaged Software,31/10/17
ALSK,"Alaska Communications Systems Group, Inc.",127412680.9,1999,Public Utilities,Telecommunications Equipment,31/10/17
ALBO,"Albireo Pharma, Inc.",232276119.8,n/a,Health Care,Major Pharmaceuticals,31/10/17
ABDC,Alcentra Capital Corp.,140885225.8,n/a,n/a,n/a,31/10/17
ADHD,Alcobra Ltd.,41344192.5,2013,Health Care,Major Pharmaceuticals,31/10/17
ALDR,"Alder BioPharmaceuticals, Inc.",758392689.6,2014,Health Care,Major Pharmaceuticals,31/10/17
ALDX,"Aldeyra Therapeutics, Inc.",96203617.6,2014,Health Care,Major Pharmaceuticals,31/10/17
ALXN,"Alexion Pharmaceuticals, Inc.",28706086212,1996,Health Care,Major Pharmaceuticals,31/10/17
ALCO,"Alico, Inc.",276907978.1,n/a,Consumer Non-Durables,Farming/Seeds/Milling,31/10/17
ALGN,"Align Technology, Inc.",18910731148,2001,Health Care,Industrial Specialties,31/10/17
ALIM,"Alimera Sciences, Inc.",86313255,2010,Health Care,Major Pharmaceuticals,31/10/17
ALJJ,"ALJ Regional Holdings, Inc.",130372880,n/a,Miscellaneous,Business Services,31/10/17
ALKS,Alkermes plc,7659793324,1991,Health Care,Major Pharmaceuticals,31/10/17
ABTX,"Allegiance Bancshares, Inc.",515272333.5,2015,Finance,Major Banks,31/10/17
ALGT,Allegiant Travel Company,2238598919,2006,Transportation,Air Freight/Delivery Services,31/10/17
AHGP,"Alliance Holdings GP, L.P.",1686340710,2006,Energy,Coal Mining,31/10/17
AMMA,"Alliance MMA, Inc.",17473694.52,2016,Consumer Services,Services-Misc. Amusement & Recreation,31/10/17
ARLP,"Alliance Resource Partners, L.P.",2659830816,1999,Energy,Coal Mining,31/10/17
AHPI,"Allied Healthcare Products, Inc.",8428427.7,1992,Health Care,Industrial Specialties,31/10/17
AMOT,"Allied Motion Technologies, Inc.",270240599.4,n/a,Capital Goods,Electrical Products,31/10/17
ALQA,"Alliqua BioMedical, Inc.",1568299.02,n/a,Health Care,Medical/Dental Instruments,31/10/17
ALLT,Allot Communications Ltd.,178817652,2006,Technology,Computer Communications Equipment,31/10/17
MDRX,"Allscripts Healthcare Solutions, Inc.",2470770683,n/a,Technology,EDP Services,31/10/17
AFAM,Almost Family Inc,650025643.1,n/a,Health Care,Medical/Nursing Services,31/10/17
ALNY,"Alnylam Pharmaceuticals, Inc.",11000665610,2004,Health Care,Major Pharmaceuticals,31/10/17
AOSL,Alpha and Omega Semiconductor Limited,426672192.5,2010,Technology,Semiconductors,31/10/17
GOOG,Alphabet Inc.,7.06231E+11,2004,Technology,"Computer Software: Programming, Data Processing",31/10/17
GOOGL,Alphabet Inc.,7.16209E+11,n/a,Technology,"Computer Software: Programming, Data Processing",31/10/17
SMCP,AlphaMark Actively Managed Small Cap ETF,26278402.75,n/a,n/a,n/a,31/10/17
ATEC,"Alphatec Holdings, Inc.",53336587.68,2006,Health Care,Medical/Dental Instruments,31/10/17
ALPN,"Alpine Immune Sciences, Inc.",39336333.15,2015,Health Care,Major Pharmaceuticals,31/10/17
SWIN,ALPS/Dorsey Wright Sector Momentum ETF,10250858.58,n/a,n/a,n/a,31/10/17
AABA,Altaba Inc.,59881763472,n/a,Technology,EDP Services,31/10/17
ALT,"Altimmune, Inc.",39432929.14,n/a,Health Care,Major Pharmaceuticals,31/10/17
ASPS,Altisource Portfolio Solutions S.A.,453570792,n/a,Consumer Services,Other Consumer Services,31/10/17
AIMC,Altra Industrial Motion Corp.,1418577283,2006,Capital Goods,Industrial Machinery/Components,31/10/17
AMAG,"AMAG Pharmaceuticals, Inc.",541676663.7,n/a,Health Care,Major Pharmaceuticals,31/10/17
AMRN,Amarin Corporation plc,878728025.7,n/a,Health Care,Major Pharmaceuticals,31/10/17
AMRK,"A-Mark Precious Metals, Inc.",110604708.5,n/a,Basic Industries,Other Specialty Stores,31/10/17
AMZN,"Amazon.com, Inc.",5.28874E+11,1997,Consumer Services,Catalog/Specialty Distribution,31/10/17
AMBC,"Ambac Financial Group, Inc.",732616377.5,n/a,Finance,Property-Casualty Insurers,31/10/17
AMBCW,"Ambac Financial Group, Inc.",0,n/a,Finance,Property-Casualty Insurers,31/10/17
AMBA,"Ambarella, Inc.",1824788423,2012,Technology,Semiconductors,31/10/17
AMCX,AMC Networks Inc.,3340348475,n/a,Consumer Services,Television Services,31/10/17
DOX,Amdocs Limited,9503309900,n/a,Technology,EDP Services,31/10/17
AMDA,Amedica Corporation,14143303.59,2014,Health Care,Medical/Dental Instruments,31/10/17
AMED,Amedisys Inc,1702247566,n/a,Health Care,Medical/Nursing Services,31/10/17
UHAL,Amerco,7735664522,n/a,Consumer Services,Rental/Leasing Companies,31/10/17
ATAX,"America First Multifamily Investors, L.P.",370555507.2,n/a,Finance,Finance: Consumer Services,31/10/17
AMOV,"America Movil, S.A.B. de C.V.",55364689883,n/a,Public Utilities,Telecommunications Equipment,31/10/17
AAL,"American Airlines Group, Inc.",22828800000,n/a,Transportation,Air Freight/Delivery Services,31/10/17
ACSF,"American Capital Senior Floating, Ltd.",111001110,2014,n/a,n/a,31/10/17
AETI,"American Electric Technologies, Inc.",13569048.68,n/a,Energy,Industrial Machinery/Components,31/10/17
AMNB,"American National Bankshares, Inc.",345029065.5,n/a,Finance,Major Banks,31/10/17
ANAT,American National Insurance Company,3270607993,n/a,Finance,Life Insurance,31/10/17
AOBC,American Outdoor Brands Corporation,784102259.2,n/a,Capital Goods,Ordnance And Accessories,31/10/17
APEI,"American Public Education, Inc.",321723072,2007,Consumer Services,Other Consumer Services,31/10/17
ARII,"American Railcar Industries, Inc.",722133943.5,2006,Capital Goods,Railroads,31/10/17
AMRB,American River Bankshares,95247952,n/a,Finance,Major Banks,31/10/17
AMSWA,"American Software, Inc.",368623777.6,n/a,Technology,Computer Software: Prepackaged Software,31/10/17
AMSC,American Superconductor Corporation,82919838.24,1991,Consumer Durables,Metal Fabrications,31/10/17
AMWD,American Woodmark Corporation,1624178505,1986,Basic Industries,Forest Products,31/10/17
CRMT,"America&#39;s Car-Mart, Inc.",321155027.6,n/a,Consumer Durables,Automotive Aftermarket,31/10/17
ABCB,Ameris Bancorp,1816875191,1994,Finance,Major Banks,31/10/17
AMSF,"AMERISAFE, Inc.",1234504075,2005,Finance,Property-Casualty Insurers,31/10/17
ASRV,AmeriServ Financial Inc.,74953018.4,n/a,Finance,Major Banks,31/10/17
ASRVP,AmeriServ Financial Inc.,0,n/a,Finance,Major Banks,31/10/17
ATLO,Ames National Corporation,282120663.9,n/a,Finance,Major Banks,31/10/17
AMGN,Amgen Inc.,1.27897E+11,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),31/10/17
FOLD,"Amicus Therapeutics, Inc.",2308861948,2007,Health Care,Major Pharmaceuticals,31/10/17
AMKR,"Amkor Technology, Inc.",2620065126,1998,Technology,Semiconductors,31/10/17
AMPH,"Amphastar Pharmaceuticals, Inc.",850467292.2,2014,Health Care,Major Pharmaceuticals,31/10/17
IBUY,Amplify Online Retail ETF,0,n/a,n/a,n/a,31/10/17
ASYS,"Amtech Systems, Inc.",198911336.1,n/a,Technology,Industrial Machinery/Components,31/10/17
AFSI,"AmTrust Financial Services, Inc.",2494559815,n/a,Finance,Property-Casualty Insurers,31/10/17
AMRS,"Amyris, Inc.",116204264.2,2010,Basic Industries,Major Chemicals,31/10/17
ADI,"Analog Devices, Inc.",33534975021,n/a,Technology,Semiconductors,31/10/17
ALOG,Analogic Corporation,998951631.2,1972,Capital Goods,Electrical Products,31/10/17
ANAB,"AnaptysBio, Inc.",1316565564,2017,Health Care,Major Pharmaceuticals,31/10/17
AVXL,Anavex Life Sciences Corp.,176279336.2,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,31/10/17
ANCB,Anchor Bancorp,61874512,2011,Finance,Banks,31/10/17
ANDA,Andina Acquisition Corp. II,49796528.51,2015,Finance,Business Services,31/10/17
ANDAR,Andina Acquisition Corp. II,0,2015,Finance,Business Services,31/10/17
ANDAU,Andina Acquisition Corp. II,0,2015,Finance,Business Services,31/10/17
ANDAW,Andina Acquisition Corp. II,0,2015,Finance,Business Services,31/10/17
ANGI,ANGI Homeservices Inc.,5817262091,n/a,Consumer Services,Advertising,31/10/17
ANGO,"AngioDynamics, Inc.",630776344.5,2004,Health Care,Medical/Dental Instruments,31/10/17
ANIP,"ANI Pharmaceuticals, Inc.",673794702.2,n/a,Health Care,Major Pharmaceuticals,31/10/17
ANIK,Anika Therapeutics Inc.,816181939.2,n/a,Health Care,Medical/Dental Instruments,31/10/17
ANSS,"ANSYS, Inc.",11508804180,1996,Technology,Computer Software: Prepackaged Software,31/10/17
ATRS,"Antares Pharma, Inc.",300302052.5,n/a,Health Care,Medical/Dental Instruments,31/10/17
ANTH,"Anthera Pharmaceuticals, Inc.",18759045.84,2010,Health Care,Major Pharmaceuticals,31/10/17
ABAC,"Aoxin Tianli Group, Inc.",28209764.58,n/a,Consumer Non-Durables,Farming/Seeds/Milling,31/10/17
APOG,"Apogee Enterprises, Inc.",1369409830,n/a,Capital Goods,Auto Parts:O.E.M.,31/10/17
APEN,"Apollo Endosurgery, Inc.",71251994.87,n/a,Health Care,Medical/Dental Instruments,31/10/17
AINV,Apollo Investment Corporation,1309380138,2004,n/a,n/a,31/10/17
APPF,"AppFolio, Inc.",1571836449,2015,Technology,Computer Software: Prepackaged Software,31/10/17
APPN,Appian Corporation,1398940275,2017,Technology,Computer Software: Prepackaged Software,31/10/17
AAPL,Apple Inc.,8.4219E+11,1980,Technology,Computer Manufacturing,31/10/17
ARCI,"Appliance Recycling Centers of America, Inc.",5856721.2,n/a,Consumer Services,Home Furnishings,31/10/17
APDN,Applied DNA Sciences Inc,67347560.22,n/a,Consumer Services,Other Consumer Services,31/10/17
APDNW,Applied DNA Sciences Inc,0,n/a,Consumer Services,Other Consumer Services,31/10/17
AGTC,Applied Genetic Technologies Corporation,68733583,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),31/10/17
AMAT,"Applied Materials, Inc.",60459157384,1972,Technology,Semiconductors,31/10/17
AAOI,"Applied Optoelectronics, Inc.",758037056.7,2013,Technology,Semiconductors,31/10/17
AREX,Approach Resources Inc.,199819534.5,2007,Energy,Oil & Gas Production,31/10/17
APTI,"Apptio, Inc.",767148806.4,2016,Technology,Computer Software: Prepackaged Software,31/10/17
APRI,"Apricus Biosciences, Inc.",21348880.87,n/a,Health Care,Major Pharmaceuticals,31/10/17
APVO,Aptevo Therapeutics Inc.,59545809.68,n/a,Health Care,Major Pharmaceuticals,31/10/17
APTO,"Aptose Biosciences, Inc.",32624464.5,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),31/10/17
AQMS,"Aqua Metals, Inc.",76023874.68,2015,Basic Industries,Metal Fabrications,31/10/17
AQB,"AquaBounty Technologies, Inc.",57284405.36,n/a,n/a,n/a,31/10/17
AQXP,"Aquinox Pharmaceuticals, Inc.",279934014.2,2014,Health Care,Major Pharmaceuticals,31/10/17
ARDM,Aradigm Corporation,64679693.84,1996,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,31/10/17
ARLZ,Aralez Pharmaceuticals Inc.,90229232.98,n/a,Health Care,Major Pharmaceuticals,31/10/17
PETX,"Aratana Therapeutics, Inc.",245540272.3,2013,Health Care,Major Pharmaceuticals,31/10/17
ABUS,Arbutus Biopharma Corporation,335938319.8,n/a,Health Care,Major Pharmaceuticals,31/10/17
ARCW,"ARC Group Worldwide, Inc.",49165609.5,n/a,Capital Goods,Metal Fabrications,31/10/17
ABIO,"ARCA biopharma, Inc.",18725439.2,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,31/10/17
RKDA,"Arcadia Biosciences, Inc.",12364265.13,2015,Basic Industries,Agricultural Chemicals,31/10/17
ARCB,ArcBest Corporation,858588115.4,n/a,Transportation,Trucking Freight/Courier Services,31/10/17
ACGL,Arch Capital Group Ltd.,13036171151,n/a,Finance,Property-Casualty Insurers,31/10/17
ACGLO,Arch Capital Group Ltd.,0,n/a,Finance,Property-Casualty Insurers,31/10/17
ACGLP,Arch Capital Group Ltd.,0,n/a,Finance,Property-Casualty Insurers,31/10/17
APLP,"Archrock Partners, L.P.",861729307.4,n/a,Public Utilities,Natural Gas Distribution,31/10/17
FUV,"Arcimoto, Inc.",80167263.6,2017,Consumer Non-Durables,Motor Vehicles,31/10/17
ARDX,"Ardelyx, Inc.",239597952,2014,Health Care,Major Pharmaceuticals,31/10/17
ARNA,"Arena Pharmaceuticals, Inc.",1091499418,2000,Health Care,Major Pharmaceuticals,31/10/17
ARCC,Ares Capital Corporation,6927361431,2004,n/a,n/a,31/10/17
ARGX,argenx SE,161567893,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),31/10/17
AGII,"Argo Group International Holdings, Ltd.",1929860254,n/a,Finance,Specialty Insurers,31/10/17
AGIIL,"Argo Group International Holdings, Ltd.",0,n/a,Finance,Specialty Insurers,31/10/17
ARGS,"Argos Therapeutics, Inc.",8724491.079,2014,Health Care,Major Pharmaceuticals,31/10/17
ARKR,Ark Restaurants Corp.,82593168.91,n/a,Consumer Services,Restaurants,31/10/17
ARTX,Arotech Corporation,109674481.9,1994,Miscellaneous,Industrial Machinery/Components,31/10/17
ARQL,"ArQule, Inc.",88514610.08,1996,Health Care,Major Pharmaceuticals,31/10/17
ARRY,Array BioPharma Inc.,1873969493,2000,Health Care,Major Pharmaceuticals,31/10/17
ARRS,ARRIS International plc,5239767742,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,31/10/17
DWAT,Arrow DWA Tactical ETF,8146950,n/a,n/a,n/a,31/10/17
AROW,Arrow Financial Corporation,512620718.5,n/a,Finance,Major Banks,31/10/17
ARWR,"Arrowhead Pharmaceuticals, Inc.",272918176,n/a,Health Care,Major Pharmaceuticals,31/10/17
ARTNA,Artesian Resources Corporation,386649092.3,n/a,Public Utilities,Water Supply,31/10/17
ARTW,"Art&#39;s-Way Manufacturing Co., Inc.",11020692.8,n/a,Capital Goods,Industrial Machinery/Components,31/10/17
ASNA,"Ascena Retail Group, Inc.",382742241.8,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,31/10/17
ASND,Ascendis Pharma A/S,900480975.4,2015,Health Care,Major Pharmaceuticals,31/10/17
ASCMA,"Ascent Capital Group, Inc.",139860388.6,n/a,Consumer Services,Other Consumer Services,31/10/17
APWC,Asia Pacific Wire & Cable Corporation Limited,41459007,n/a,Basic Industries,Telecommunications Equipment,31/10/17
ASML,ASML Holding N.V.,12681959700,1995,Technology,Industrial Machinery/Components,31/10/17
ASPU,Aspen Group Inc.,107388586.8,n/a,Consumer Services,Other Consumer Services,31/10/17
AZPN,"Aspen Technology, Inc.",4774109340,1994,Technology,EDP Services,31/10/17
ASMB,"Assembly Biosciences, Inc.",536819000,n/a,Health Care,Major Pharmaceuticals,31/10/17
ASFI,"Asta Funding, Inc.",48022658.75,1995,Finance,Finance Companies,31/10/17
ASTE,"Astec Industries, Inc.",1202138513,1986,Capital Goods,Construction/Ag Equipment/Trucks,31/10/17
ATRO,Astronics Corporation,1027795129,n/a,Capital Goods,Military/Government/Technical,31/10/17
ALOT,"AstroNova, Inc.",85628048.2,1983,Technology,Computer peripheral equipment,31/10/17
ASTC,Astrotech Corporation,3073439.82,n/a,Capital Goods,Military/Government/Technical,31/10/17
ASUR,Asure Software Inc,134148916.8,n/a,Technology,EDP Services,31/10/17
ASV,"ASV Holdings, Inc.",79870000,2017,Capital Goods,Construction/Ag Equipment/Trucks,31/10/17
ATAI,ATA Inc.,59933286.1,2008,Consumer Services,Other Consumer Services,31/10/17
ATRA,"Atara Biotherapeutics, Inc.",415608180,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),31/10/17
ATHN,"athenahealth, Inc.",5166283650,2007,Miscellaneous,Business Services,31/10/17
ATNX,"Athenex, Inc.",964945628.2,2017,Health Care,Major Pharmaceuticals,31/10/17
ATHX,"Athersys, Inc.",217570600.2,n/a,Health Care,Major Pharmaceuticals,31/10/17
ATAC,Atlantic Acquisition Corp.,57609195.57,2017,Finance,Business Services,31/10/17
ATACR,Atlantic Acquisition Corp.,0,2017,Finance,Business Services,31/10/17
ATACU,Atlantic Acquisition Corp.,0,2017,Finance,Business Services,31/10/17
AAME,Atlantic American Corporation,71625480.5,n/a,Finance,Life Insurance,31/10/17
ACBI,"Atlantic Capital Bancshares, Inc.",442663134.8,n/a,Finance,Major Banks,31/10/17
ACFC,Atlantic Coast Financial Corporation,139827843.9,n/a,Finance,Savings Institutions,31/10/17
ABY,Atlantica Yield plc,2230836208,2014,Public Utilities,Electric Utilities: Central,31/10/17
ATLC,Atlanticus Holdings Corporation,37372989.28,1995,Finance,Finance: Consumer Services,31/10/17
AAWW,Atlas Air Worldwide Holdings,1572792813,n/a,Transportation,Transportation Services,31/10/17
AFH,"Atlas Financial Holdings, Inc.",242418665.5,2013,Finance,Property-Casualty Insurers,31/10/17
AFHBL,"Atlas Financial Holdings, Inc.",0,n/a,Finance,Property-Casualty Insurers,31/10/17
TEAM,Atlassian Corporation Plc,10745335154,2015,Technology,Computer Software: Prepackaged Software,31/10/17
ATNI,"ATN International, Inc.",861318498.2,n/a,Public Utilities,Telecommunications Equipment,31/10/17
ATOM,Atomera Incorporated,37941187.44,2016,Technology,Semiconductors,31/10/17
ATOS,Atossa Genetics Inc.,5249102.245,2012,Health Care,Major Pharmaceuticals,31/10/17
ATRC,"AtriCure, Inc.",748828095,2005,Health Care,Medical/Dental Instruments,31/10/17
ATRI,Atrion Corporation,1222863865,n/a,Health Care,Medical/Dental Instruments,31/10/17
ATTU,Attunity Ltd.,115683377.1,n/a,Technology,Computer Software: Prepackaged Software,31/10/17
